seed,dataset,fold
42,wine-quality,1
42,wine-quality,2
42,wine-quality,3
42,wine-quality,4
42,wine-quality,5
42,wine-quality,6
42,wine-quality,7
42,wine-quality,8
42,wine-quality,9
43,diabetes,0
43,diabetes,1
43,diabetes,2
43,diabetes,3
43,diabetes,4
43,diabetes,5
43,diabetes,6
43,diabetes,7
43,diabetes,8
43,diabetes,9
43,credit-g,0
43,credit-g,1
43,credit-g,2
43,credit-g,3
43,credit-g,4
43,credit-g,5
43,credit-g,6
43,credit-g,7
43,credit-g,8
43,credit-g,9
43,blood,0
43,blood,1
43,blood,2
43,blood,3
43,blood,4
43,blood,5
43,blood,6
43,blood,7
43,blood,8
43,blood,9
43,wdbc,0
43,wdbc,1
43,wdbc,2
43,wdbc,3
43,wdbc,4
43,wdbc,5
43,wdbc,6
43,wdbc,7
43,wdbc,8
43,wdbc,9
43,tic-tac-toe,0
43,tic-tac-toe,1
43,tic-tac-toe,2
43,tic-tac-toe,3
43,tic-tac-toe,4
43,tic-tac-toe,5
43,tic-tac-toe,6
43,tic-tac-toe,7
43,tic-tac-toe,8
43,tic-tac-toe,9
43,spambase,0
43,spambase,1
43,spambase,2
43,spambase,3
43,spambase,4
43,spambase,5
43,spambase,6
43,spambase,7
43,spambase,8
43,spambase,9
43,magic,0
43,magic,1
43,magic,2
43,magic,3
43,magic,4
43,magic,5
43,magic,6
43,magic,7
43,magic,8
43,magic,9
43,bank,0
43,bank,1
43,bank,2
43,bank,3
43,bank,4
43,bank,5
43,bank,6
43,bank,7
43,bank,8
43,bank,9
43,phoneme,0
43,phoneme,1
43,phoneme,2
43,phoneme,3
43,phoneme,4
43,phoneme,5
43,phoneme,6
43,phoneme,7
43,phoneme,8
43,phoneme,9
43,kr-vs-kp,0
43,kr-vs-kp,1
43,kr-vs-kp,2
43,kr-vs-kp,3
43,kr-vs-kp,4
43,kr-vs-kp,5
43,kr-vs-kp,6
43,kr-vs-kp,7
43,kr-vs-kp,8
43,kr-vs-kp,9
43,balance-scale,0
43,balance-scale,1
43,balance-scale,2
43,balance-scale,3
43,balance-scale,4
43,balance-scale,5
43,balance-scale,6
43,balance-scale,7
43,balance-scale,8
43,balance-scale,9
43,vehicle,0
43,vehicle,1
43,vehicle,2
43,vehicle,3
43,vehicle,4
43,vehicle,5
43,vehicle,6
43,vehicle,7
43,vehicle,8
43,vehicle,9
43,car,0
43,car,1
43,car,2
43,car,3
43,car,4
43,car,5
43,car,6
43,car,7
43,car,8
43,car,9
43,segment,0
43,segment,1
43,segment,2
43,segment,3
43,segment,4
43,segment,5
43,segment,6
43,segment,7
43,segment,8
43,segment,9
43,satimage,0
43,satimage,1
43,satimage,2
43,satimage,3
43,satimage,4
43,satimage,5
43,satimage,6
43,satimage,7
43,satimage,8
43,satimage,9
43,pendigits,0
43,pendigits,1
43,pendigits,2
43,pendigits,3
43,pendigits,4
43,pendigits,5
43,pendigits,6
43,pendigits,7
43,pendigits,8
43,pendigits,9
43,mfeat-factors,0
43,mfeat-factors,1
43,mfeat-factors,2
43,mfeat-factors,3
43,mfeat-factors,4
43,mfeat-factors,5
43,mfeat-factors,6
43,mfeat-factors,7
43,mfeat-factors,8
43,mfeat-factors,9
43,optdigits,0
43,optdigits,1
43,optdigits,2
43,optdigits,3
43,optdigits,4
43,optdigits,5
43,optdigits,6
43,optdigits,7
43,optdigits,8
43,optdigits,9
43,page-blocks,0
43,page-blocks,1
43,page-blocks,2
43,page-blocks,3
43,page-blocks,4
43,page-blocks,5
43,page-blocks,6
43,page-blocks,7
43,page-blocks,8
43,page-blocks,9
43,wine-quality,0
43,wine-quality,1
43,wine-quality,2
43,wine-quality,3
43,wine-quality,4
43,wine-quality,5
43,wine-quality,6
43,wine-quality,7
43,wine-quality,8
43,wine-quality,9
44,diabetes,0
44,diabetes,1
44,diabetes,2
44,diabetes,3
44,diabetes,4
44,diabetes,5
44,diabetes,6
44,diabetes,7
44,diabetes,8
44,diabetes,9
44,credit-g,0
44,credit-g,1
44,credit-g,2
44,credit-g,3
44,credit-g,4
44,credit-g,5
44,credit-g,6
44,credit-g,7
44,credit-g,8
44,credit-g,9
44,blood,0
44,blood,1
44,blood,2
44,blood,3
44,blood,4
44,blood,5
44,blood,6
44,blood,7
44,blood,8
44,blood,9
44,wdbc,0
44,wdbc,1
44,wdbc,2
44,wdbc,3
44,wdbc,4
44,wdbc,5
44,wdbc,6
44,wdbc,7
44,wdbc,8
44,wdbc,9
44,tic-tac-toe,0
44,tic-tac-toe,1
44,tic-tac-toe,2
44,tic-tac-toe,3
44,tic-tac-toe,4
44,tic-tac-toe,5
44,tic-tac-toe,6
44,tic-tac-toe,7
44,tic-tac-toe,8
44,tic-tac-toe,9
44,spambase,0
44,spambase,1
44,spambase,2
44,spambase,3
44,spambase,4
44,spambase,5
44,spambase,6
44,spambase,7
44,spambase,8
44,spambase,9
44,magic,0
44,magic,1
44,magic,2
44,magic,3
44,magic,4
44,magic,5
44,magic,6
44,magic,7
44,magic,8
44,magic,9
44,bank,0
44,bank,1
44,bank,2
44,bank,3
44,bank,4
44,bank,5
44,bank,6
44,bank,7
44,bank,8
44,bank,9
44,phoneme,0
44,phoneme,1
44,phoneme,2
44,phoneme,3
44,phoneme,4
44,phoneme,5
44,phoneme,6
44,phoneme,7
44,phoneme,8
44,phoneme,9
44,kr-vs-kp,0
44,kr-vs-kp,1
44,kr-vs-kp,2
44,kr-vs-kp,3
44,kr-vs-kp,4
44,kr-vs-kp,5
44,kr-vs-kp,6
44,kr-vs-kp,7
44,kr-vs-kp,8
44,kr-vs-kp,9
44,balance-scale,0
44,balance-scale,1
44,balance-scale,2
44,balance-scale,3
44,balance-scale,4
44,balance-scale,5
44,balance-scale,6
44,balance-scale,7
44,balance-scale,8
44,balance-scale,9
44,vehicle,0
44,vehicle,1
44,vehicle,2
44,vehicle,3
44,vehicle,4
44,vehicle,5
44,vehicle,6
44,vehicle,7
44,vehicle,8
44,vehicle,9
44,car,0
44,car,1
44,car,2
44,car,3
44,car,4
44,car,5
44,car,6
44,car,7
44,car,8
44,car,9
44,segment,0
44,segment,1
44,segment,2
44,segment,3
44,segment,4
44,segment,5
44,segment,6
44,segment,7
44,segment,8
44,segment,9
44,satimage,0
44,satimage,1
44,satimage,2
44,satimage,3
44,satimage,4
44,satimage,5
44,satimage,6
44,satimage,7
44,satimage,8
44,satimage,9
44,pendigits,0
44,pendigits,1
44,pendigits,2
44,pendigits,3
44,pendigits,4
44,pendigits,5
44,pendigits,6
44,pendigits,7
44,pendigits,8
44,pendigits,9
44,mfeat-factors,0
44,mfeat-factors,1
44,mfeat-factors,2
44,mfeat-factors,3
44,mfeat-factors,4
44,mfeat-factors,5
44,mfeat-factors,6
44,mfeat-factors,7
44,mfeat-factors,8
44,mfeat-factors,9
44,optdigits,0
44,optdigits,1
44,optdigits,2
44,optdigits,3
44,optdigits,4
44,optdigits,5
44,optdigits,6
44,optdigits,7
44,optdigits,8
44,optdigits,9
44,page-blocks,0
44,page-blocks,1
44,page-blocks,2
44,page-blocks,3
44,page-blocks,4
44,page-blocks,5
44,page-blocks,6
44,page-blocks,7
44,page-blocks,8
44,page-blocks,9
44,wine-quality,0
44,wine-quality,1
44,wine-quality,2
44,wine-quality,3
44,wine-quality,4
44,wine-quality,5
44,wine-quality,6
44,wine-quality,7
44,wine-quality,8
44,wine-quality,9
